,Decision Variables,,,Objectives,,
Solution ID,Hedging Parameter,FC PE Target,FC Flow Limit,Demand Reliability,Storage Reliability,Flood Reliability
49,8.6500000000000004,6495,185.27427556348832,0.56999999999999995,1,0.87
220,3.0100000000000002,6496,229.81519630993512,0.81000000000000005,0.82999999999999996,0.90000000000000002
311,3.71,6491,199.58494778513921,0.68000000000000005,0.87,0.90000000000000002
483,11.77,6490,217.27572015190395,0.56000000000000005,1,0.88
528,11.960000000000001,6497,156.28189920339852,0.57999999999999996,1,0.85999999999999999
553,3.73,6490,244.29334908939131,0.65000000000000002,0.85999999999999999,0.91000000000000003
583,3.46,6499,250,0.76000000000000001,0.88,0.89000000000000001
594,1,6500,240.89086324412526,0.97999999999999998,0.81000000000000005,0.89000000000000001
785,3.3599999999999999,6500,213.26026655641851,0.78000000000000003,0.88,0.88
794,4.2300000000000004,6496,229.81519630993512,0.59999999999999998,0.93000000000000005,0.89000000000000001
806,3.8000000000000003,6490,201.28819800429702,0.66000000000000003,0.88,0.90000000000000002
813,3.98,6490,250,0.60999999999999999,0.88,0.91000000000000003
842,1,6492,250,0.94999999999999996,0.75,0.91000000000000003
846,2.0600000000000001,6500,250,0.92000000000000004,0.82999999999999996,0.89000000000000001
863,1.95,6500,172.13218315605747,0.93000000000000005,0.82999999999999996,0.88
877,3.2000000000000002,6496,243.65991582915015,0.77000000000000002,0.83999999999999997,0.90000000000000002
968,3.9399999999999999,6475,250,0.58999999999999997,0.53000000000000003,0.93000000000000005
1026,4.4400000000000004,6475,239.4071407442022,0.55000000000000004,0.59999999999999998,0.92000000000000004
1081,3.7200000000000002,6500,248.43142910567138,0.71999999999999997,0.91000000000000003,0.88
1094,2.9300000000000002,6500,248.80642258056724,0.84999999999999998,0.84999999999999998,0.89000000000000001
1111,3.6899999999999999,6499,248.98248563094859,0.71999999999999997,0.90000000000000002,0.89000000000000001
1339,4.0899999999999999,6500,244.29162054459414,0.63,0.93999999999999995,0.88
1367,4.5,6490,244.13067305631643,0.55000000000000004,0.92000000000000004,0.90000000000000002
1373,4.3399999999999999,6474,238.51474775077082,0.56000000000000005,0.58999999999999997,0.92000000000000004
1383,4.2199999999999998,6491,210.67792765206639,0.59999999999999998,0.91000000000000003,0.90000000000000002
1478,3.8500000000000001,6499,249.18211444426362,0.68000000000000005,0.91000000000000003,0.89000000000000001
1482,3.3200000000000003,6500,239.16364503663419,0.79000000000000004,0.87,0.88
1527,1.47,6496,230.86561005557718,0.93999999999999995,0.80000000000000004,0.90000000000000002
1596,3.9100000000000001,6500,211.4953968930856,0.67000000000000004,0.92000000000000004,0.88
1603,1.9399999999999999,6496,221.77972692270708,0.91000000000000003,0.81000000000000005,0.90000000000000002
1618,4.1100000000000003,6491,210.67792765206639,0.60999999999999999,0.90000000000000002,0.90000000000000002
1671,1.9299999999999999,6486,250,0.84999999999999998,0.52000000000000002,0.92000000000000004
1719,3.52,6492,192.22668276490742,0.69999999999999996,0.85999999999999999,0.90000000000000002
1738,1,6485,249.99792425486848,0.91000000000000003,0.5,0.92000000000000004
1792,2.6899999999999999,6496,230.51656765841088,0.83999999999999997,0.81999999999999995,0.90000000000000002
1794,3.48,6491,187.8719723372985,0.70999999999999996,0.84999999999999998,0.90000000000000002
1872,3.6200000000000001,6500,248.98248563094859,0.73999999999999999,0.90000000000000002,0.88
1878,1.49,6500,250,0.94999999999999996,0.81999999999999995,0.89000000000000001
1891,3.0899999999999999,6500,250,0.81999999999999995,0.85999999999999999,0.89000000000000001
1989,2.5500000000000003,6500,250,0.88,0.83999999999999997,0.89000000000000001
1991,5.3700000000000001,6475,250,0.51000000000000001,0.65000000000000002,0.92000000000000004
1992,4.4699999999999998,6495,228.39159761551963,0.56000000000000005,0.93999999999999995,0.89000000000000001
2019,1,6497,227.63619865693298,0.96999999999999997,0.79000000000000004,0.90000000000000002
2025,5.7199999999999998,6492,250,0.53000000000000003,0.98999999999999999,0.89000000000000001
2055,3.5300000000000002,6472,227.1857209407234,0.65000000000000002,0.53000000000000003,0.92000000000000004
2058,4.5800000000000001,6495,228.2741672288775,0.54000000000000004,0.94999999999999996,0.89000000000000001
2138,1.99,6476,242.51645577101885,0.77000000000000002,0.46000000000000002,0.93000000000000005
2159,4.8100000000000005,6490,228.79748617859491,0.53000000000000003,0.93999999999999995,0.90000000000000002
2187,4.2700000000000005,6500,248.48138181365454,0.60999999999999999,0.94999999999999996,0.88
2194,3.6000000000000001,6491,250,0.66000000000000003,0.84999999999999998,0.91000000000000003
2240,3.3200000000000003,6490,233.2868114307725,0.70999999999999996,0.81000000000000005,0.91000000000000003
2350,3.8300000000000001,6475,249.64273516121585,0.60999999999999999,0.52000000000000002,0.93000000000000005
2366,3.3200000000000003,6499,250,0.78000000000000003,0.87,0.89000000000000001
2393,3.5700000000000003,6499,245.45083245562085,0.73999999999999999,0.89000000000000001,0.89000000000000001
2415,1.52,6476,242.51645577101885,0.81999999999999995,0.45000000000000001,0.93000000000000005
2417,3.1499999999999999,6477,249.59498096753674,0.67000000000000004,0.47999999999999998,0.93000000000000005
2425,4.3799999999999999,6500,250,0.57999999999999996,0.95999999999999996,0.88
2502,3.9500000000000002,6492,206.99839799270359,0.63,0.89000000000000001,0.90000000000000002
2517,3.8300000000000001,6490,249.94774298066983,0.63,0.87,0.91000000000000003
2518,3.5500000000000003,6475,249.387390229961,0.64000000000000001,0.5,0.93000000000000005
2522,1.95,6491,250,0.88,0.76000000000000001,0.91000000000000003
2576,3.9399999999999999,6474,232.19986386401638,0.60999999999999999,0.56000000000000005,0.92000000000000004
2680,3.0800000000000001,6491,250,0.73999999999999999,0.79000000000000004,0.91000000000000003
2714,4.5499999999999998,6475,239.20930591633103,0.53000000000000003,0.60999999999999999,0.92000000000000004
2771,1.29,6486,249.63713948556028,0.89000000000000001,0.51000000000000001,0.92000000000000004
2782,4.0800000000000001,6472,230.23904749372008,0.58999999999999997,0.57999999999999996,0.92000000000000004
2783,3.46,6491,250,0.68999999999999995,0.82999999999999996,0.91000000000000003
2820,5.3700000000000001,6490,249.88367849869303,0.52000000000000002,0.96999999999999997,0.90000000000000002
2889,3.6899999999999999,6473,229.25678330447352,0.63,0.55000000000000004,0.92000000000000004
2939,3.6000000000000001,6476,249.99999848508617,0.63,0.51000000000000001,0.93000000000000005
2956,1,6477,250,0.88,0.44,0.93000000000000005
2963,3.46,6500,249.18211444426362,0.77000000000000002,0.89000000000000001,0.88
3000,3.5300000000000002,6491,250,0.68000000000000005,0.83999999999999997,0.91000000000000003
